OID_,LAT,LONG,SymbolID,B04,B05,B06
220,20.332360637000026,105.07800497600005,0,0.0468,0.0557,0.0795
221,20.33246955500005,105.07835305000005,0,0.06435,0.08595,0.0895
222,20.332715064000077,105.07880541000009,0,0.07435,0.0839,0.0941
223,20.332160204000047,105.07743437100004,0,0.0497,0.03445,0.0605
224,20.333206757000028,105.07830437500007,0,0.05835,0.0746,0.0982
225,20.332245167000053,105.07965330300004,0,0.04845,0.0773,0.1078
226,20.33240738200004,105.07836916100004,0,0.06435,0.1072,0.1127
227,20.333294657000067,105.07811552300006,0,0.05835,0.0486,0.0738
228,20.333753836000028,105.07979173200005,0,0.04155,0.06055,0.0747
229,20.33190671900008,105.07662566100004,0,0.04525,0.0576,0.08465
230,20.33272020400005,105.07925926900003,0,0.0866,0.1397,0.1793
231,20.332645644000024,105.07815361400009,0,0.06435,0.073,0.09365
232,20.333229619000065,105.08012845100006,0,0.06265,0.0404,0.06595
233,20.33272739400008,105.07729083300006,0,0.04385,0.0592,0.0863
234,20.333092384000054,105.08012704500004,0,0.06265,0.05285,0.07705
235,20.33226149100005,105.07712450200006,0,0.05215,0.0897,0.1131
236,20.332517753000047,105.07941662000007,0,0.0866,0.0665,0.1091
