OID_,LAT,LONG,SymbolID,B04,B05,B06
444,19.84869133,105.3497139,0,0.0732,0.0934,0.1094
445,19.84866139,105.3496561,0,0.0732,0.0934,0.1094
446,19.84867828,105.3497156,0,0.0732,0.0934,0.1094
447,19.848689693,105.3495917,0,0.0719,0.0985,0.116
448,19.84870368,105.3495936,0,0.0719,0.0985,0.116
449,19.84875973,105.3497248,0,0.0824,0.0902,0.1268
450,19.84881737,105.349642856,0,0.0822,0.1042,0.104
451,19.84876011,105.3497079,0,0.0824,0.0902,0.1268
452,19.84874149,105.3497062,0,0.0824,0.0902,0.1268
453,19.8486466,105.3496952,0,0.0732,0.0934,0.1094
454,19.84882381,105.3495374,0,0.0576,0.0775,0.0638
